date,value
4/11/94,10
11/25/02,10
5/10/04,10.1
11/4/77,10.1
11/17/97,10.1
5/14/03,10.2
10/25/00,10.3
5/14/08,10.3
10/29/97,10.3
3/21/90,10.3
4/28/03,10.3
4/5/06,10.4
11/19/04,10.4
9/24/96,10.5
12/3/75,10.5
10/29/75,10.5
5/25/05,10.6
10/27/92,10.6
11/9/79,10.6
4/14/05,10.6
4/17/07,10.6
5/3/11,10.7
10/26/09,10.7
9/29/99,10.7
4/19/17,10.7
11/27/95,10.7
4/19/01,10.7
5/8/79,10.8
11/7/90,10.8
11/3/09,10.9
10/26/98,10.9
11/6/13,10.9
11/6/85,10.9
11/15/74,11
6/6/78,11
10/12/06,11
3/17/76,11
9/30/09,11
5/8/12,11
5/11/92,11.1
5/13/91,11.1
5/20/91,11.1
9/29/82,11.2
4/22/97,11.2
10/23/02,11.2
9/19/07,11.2
6/17/91,11.2
3/25/15,11.2
11/30/94,11.3
4/6/04,11.3
10/12/98,11.3
11/2/10,11.3
5/17/11,11.3
4/14/92,11.4
10/30/97,11.5
4/29/02,11.5
5/24/00,11.5
5/15/00,11.6
9/29/82,11.6
4/13/00,11.7
10/26/76,11.7
10/20/16,11.7
9/27/00,11.7
9/14/92,11.7
5/28/09,11.8
6/3/91,11.9
10/16/81,12
6/6/78,12
3/23/92,12
11/1/16,12
6/8/76,12
6/8/76,12
6/4/97,12
4/20/10,12
5/6/08,12
11/4/08,12
8/7/02,12.1
6/16/04,12.1
4/18/92,12.1
10/24/79,12.1
6/7/06,12.2
9/29/82,12.2
3/17/05,12.3
11/4/93,12.4
7/14/99,12.4
6/20/01,12.5
6/7/00,12.5
7/23/08,12.5
3/17/76,12.5
9/20/77,12.5
11/6/18,12.6
6/8/98,12.6
10/21/91,12.6
5/29/03,12.6
4/27/04,12.6
5/9/17,12.7
6/21/00,12.7
10/12/92,12.7
7/1/09,12.7
6/24/91,12.8
10/14/91,12.8
9/28/92,12.8
8/24/98,12.8
3/16/76,12.8
9/29/82,12.8
5/7/14,12.8
5/8/07,12.9
6/11/03,12.9
10/7/91,12.9
4/20/15,12.9
6/15/92,13
7/19/00,13
7/8/97,13
6/10/09,13
10/21/08,13
6/30/04,13
5/8/81,13
10/23/00,13
8/16/06,13.1
9/15/99,13.1
7/30/03,13.1
5/13/96,13.1
5/27/77,13.2
10/25/94,13.2
4/20/83,13.2
9/16/82,13.2
9/16/82,13.2
9/10/96,13.2
1/21/98,13.3
1/21/98,13.3
9/29/04,13.4
7/6/06,13.4
9/24/03,13.4
6/22/98,13.4
10/18/11,13.4
10/1/08,13.5
9/13/00,13.5
9/23/91,13.5
9/16/82,13.5
1/16/98,13.5
1/16/98,13.5
5/22/12,13.6
9/27/06,13.6
8/30/00,13.6
6/25/98,13.6
4/1/98,13.6
10/13/82,13.7
10/7/97,13.7
10/21/02,13.7
7/9/03,13.7
7/13/05,13.7
10/13/82,13.8
9/29/82,13.8
9/29/82,13.8
10/21/97,13.8
7/15/09,13.8
8/22/07,13.8
8/2/00,13.8
9/8/92,13.8
5/21/19,13.8
10/8/19,13.9
4/2/98,13.9
4/2/98,13.9
10/17/97,13.9
10/13/82,13.9
9/8/05,13.9
5/8/90,14
10/5/89,14
10/13/82,14
10/13/82,14
9/3/75,14
9/3/75,14
1/26/98,14
7/26/95,14
9/10/96,14
6/24/98,14
7/26/07,14
6/24/98,14
10/3/89,14.1
10/9/97,14.1
10/10/97,14.1
8/10/98,14.1
10/1/97,14.1
7/28/99,14.2
6/15/10,14.2
10/2/75,14.2
6/2/80,14.2
10/8/97,14.2
7/20/95,14.2
8/6/93,14.2
8/27/03,14.3
7/18/95,14.3
5/3/77,14.3
4/7/98,14.3
9/10/96,14.4
7/22/97,14.4
9/3/97,14.4
8/5/09,14.4
10/12/82,14.4
10/12/82,14.4
6/14/00,14.4
9/19/78,14.5
10/22/97,14.5
10/22/97,14.5
7/17/95,14.5
6/24/98,14.5
8/26/04,14.5
9/16/91,14.5
9/10/96,14.5
10/13/05,14.6
6/17/82,14.6
10/15/01,14.6
10/13/82,14.6
4/20/98,14.7
9/10/96,14.7
10/1/75,14.8
10/19/04,14.9
10/13/82,14.9
9/4/03,14.9
6/24/98,14.9
7/24/02,14.9
7/10/02,14.9
9/16/82,15
10/16/97,15
1/22/98,15
5/27/82,15
5/7/13,15
8/14/03,15
5/22/07,15.1
7/9/08,15.1
6/1/92,15.1
6/21/11,15.1
10/6/97,15.2
5/22/80,15.2
5/24/88,15.3
10/13/78,15.3
5/20/13,15.3
6/10/91,15.4
8/6/08,15.4
6/13/85,15.5
10/13/82,15.5
9/24/86,15.5
1/29/98,15.6
1/29/98,15.6
10/5/89,15.6
5/26/92,15.6
5/4/15,15.6
10/23/97,15.7
9/21/92,15.8
5/18/16,15.9
7/29/91,15.9
12/15/09,1.6
9/29/75,16
6/19/84,16
6/13/06,16
10/1/75,16
10/13/82,16.1
7/28/92,16.1
10/5/89,16.2
10/24/97,16.3
5/5/98,16.5
6/2/81,16.5
6/22/82,16.5
10/21/15,16.6
4/23/98,16.6
4/23/98,16.6
4/22/98,16.7
4/22/98,16.7
6/21/83,16.8
5/31/94,16.8
10/12/82,16.8
6/5/18,16.8
6/11/01,16.9
9/22/76,16.9
6/6/78,17
6/17/82,17
6/22/82,17
5/12/92,17
6/22/82,17.1
5/20/97,17.1
6/22/82,17.1
6/22/82,17.1
6/16/09,17.1
6/22/82,17.2
6/22/82,17.2
9/18/12,17.2
8/10/92,17.2
7/20/92,17.3
6/2/97,17.4
9/11/00,17.5
6/6/78,17.5
8/19/91,17.6
9/21/10,17.8
6/22/82,17.8
9/18/74,17.8
6/6/78,17.8
9/18/74,17.8
9/18/74,17.8
6/17/82,17.8
6/17/94,17.8
9/18/74,17.8
6/22/82,17.8
9/18/74,17.8
9/18/74,17.8
9/18/74,17.9
9/18/74,17.9
9/18/74,17.9
9/18/74,17.9
9/18/74,17.9
9/18/74,17.9
9/18/74,17.9
10/2/01,17.9
9/18/74,17.9
9/18/74,17.9
9/18/74,17.9
10/12/82,18
9/19/74,18
9/19/74,18
9/19/74,18
9/19/74,18
9/19/74,18
9/19/74,18
9/19/74,18
9/19/74,18
9/19/74,18
9/19/74,18
9/19/74,18
9/19/74,18
9/19/74,18
9/19/74,18
9/19/74,18
9/19/74,18
9/19/74,18
9/17/74,18
9/19/74,18
9/19/74,18
9/19/74,18
9/19/74,18
9/17/74,18
9/17/74,18
9/17/74,18
9/17/74,18
9/17/74,18
9/17/74,18
9/18/74,18
9/17/74,18
9/17/74,18
9/18/74,18
9/18/74,18
9/18/74,18
9/18/74,18
9/18/74,18
9/18/74,18
9/18/74,18
9/18/74,18
9/18/74,18
6/22/82,18
6/22/78,18
6/22/78,18
6/22/78,18
6/22/78,18
6/22/78,18
6/22/78,18
6/22/78,18
6/22/78,18
6/22/78,18
6/22/78,18
6/22/78,18
6/22/78,18
6/22/78,18
6/22/78,18
6/6/78,18
9/18/74,18.1
9/17/74,18.1
9/17/74,18.1
9/19/74,18.1
9/19/74,18.1
9/19/74,18.1
9/17/74,18.1
9/17/74,18.1
6/22/78,18.1
6/15/16,18.1
9/17/74,18.2
6/22/78,18.2
6/6/78,18.2
9/17/74,18.2
9/18/74,18.2
9/19/74,18.2
9/19/74,18.2
9/17/74,18.2
9/18/74,18.2
9/18/74,18.2
9/18/74,18.2
6/22/78,18.2
9/17/74,18.2
9/17/74,18.2
6/6/78,18.3
9/19/74,18.3
9/19/74,18.3
9/17/74,18.3
9/19/74,18.3
9/17/74,18.4
6/17/96,18.4
9/13/99,18.4
8/17/92,18.4
9/17/74,18.5
9/17/74,18.5
6/22/82,18.5
7/7/75,18.5
6/6/78,18.5
6/6/78,18.5
6/6/78,18.5
9/19/74,18.5
6/6/78,18.5
6/6/78,18.5
9/17/74,18.6
6/22/82,18.6
7/19/11,18.6
8/29/77,18.7
6/6/78,18.7
9/17/74,18.8
9/19/74,18.8
10/12/82,18.8
9/17/74,18.8
9/17/74,18.8
9/23/14,18.8
7/7/82,18.9
9/17/79,18.9
6/6/78,19
6/6/78,19
6/6/78,19
6/6/78,19
6/6/78,19
6/6/78,19
6/6/78,19
6/6/78,19
9/17/74,19
9/17/74,19
9/17/74,19
9/17/74,19
9/17/74,19
9/17/74,19
9/17/74,19
6/17/82,19
7/21/82,19
6/22/82,19
6/6/78,19
7/7/82,19
9/18/07,19
9/15/09,19
6/12/79,19.1
6/6/78,19.1
6/6/78,19.1
6/23/03,19.1
7/15/93,19.1
7/7/82,19.1
6/6/78,19.2
6/6/78,19.2
7/7/82,19.2
7/7/82,19.2
9/24/82,19.2
9/24/82,19.2
6/22/82,19.2
7/7/82,19.2
7/7/82,19.2
7/7/82,19.2
9/17/74,19.2
9/2/08,19.2
9/13/94,19.3
9/13/94,19.3
9/13/94,19.3
6/6/78,19.3
6/6/78,19.3
7/7/82,19.3
6/22/82,19.4
6/6/78,19.4
7/29/82,19.5
9/16/82,19.5
7/24/73,19.5
9/13/94,19.5
9/13/94,19.5
7/7/82,19.5
9/24/82,19.5
9/24/82,19.5
9/24/82,19.5
8/5/82,19.6
9/13/94,19.6
7/29/82,19.6
7/29/82,19.6
7/29/82,19.6
9/17/74,19.7
9/13/94,19.7
9/6/11,19.8
8/13/82,19.8
7/24/73,19.8
7/7/82,19.8
10/12/82,19.8
8/13/82,19.8
7/24/73,19.8
8/13/82,19.8
8/13/82,19.8
7/15/82,19.9
7/15/82,19.9
9/9/74,19.9
7/15/82,19.9
9/17/74,19.9
7/15/82,19.9
9/21/15,20
6/17/82,20
7/15/82,20
6/6/78,20
6/6/78,20
6/6/78,20
6/22/82,20
8/5/82,20
7/24/73,20
7/24/73,20
7/24/73,20
7/24/73,20
7/24/73,20
7/24/73,20
7/24/73,20
6/22/82,20
7/7/82,20.1
7/7/82,20.1
5/13/87,20.1
8/14/75,20.1
8/13/82,20.2
7/15/82,20.2
7/24/73,20.2
8/13/82,20.2
7/15/82,20.2
8/13/82,20.2
7/25/73,20.2
8/24/88,20.2
7/24/73,20.2
8/13/82,20.2
9/10/74,20.2
8/19/82,20.3
8/13/82,20.3
8/19/82,20.3
8/21/78,20.4
6/29/82,20.4
7/24/73,20.4
8/19/82,20.4
7/15/82,20.5
8/20/82,20.5
8/20/82,20.5
8/20/82,20.5
10/12/82,20.5
7/25/73,20.5
7/25/73,20.5
7/25/73,20.5
7/24/73,20.5
7/24/73,20.5
7/24/73,20.5
7/24/73,20.5
7/24/73,20.5
7/24/73,20.5
6/22/82,20.5
6/22/82,20.5
7/29/82,20.5
7/29/82,20.5
9/15/82,20.5
7/8/19,20.6
7/20/10,20.6
8/18/09,20.6
9/10/96,20.6
10/12/82,20.6
8/20/79,20.7
7/21/82,20.7
8/28/96,20.7
6/29/82,20.7
7/24/73,20.8
9/15/82,20.8
9/15/82,20.8
9/15/82,20.8
10/12/82,20.8
6/17/82,20.8
6/29/82,20.8
7/24/73,20.8
6/29/82,20.8
6/29/82,20.8
7/21/82,20.8
6/29/82,20.8
9/10/03,20.8
7/8/96,20.8
7/24/12,20.9
8/25/98,20.9
6/29/82,20.9
7/21/82,20.9
7/21/82,20.9
7/25/73,21
7/25/73,21
7/25/73,21
7/25/73,21
7/25/73,21
7/25/73,21
7/25/73,21
7/29/82,21
7/25/73,21
7/25/73,21
7/25/73,21
7/21/82,21
7/24/81,21
7/21/82,21
7/24/73,21
7/24/73,21
7/24/73,21
7/24/73,21
7/24/73,21
7/24/73,21
7/24/73,21
7/24/73,21
7/24/73,21
7/24/73,21
7/24/73,21
7/24/73,21
8/5/93,21
6/29/82,21
7/21/82,21
8/5/93,21
7/21/82,21
9/15/82,21
7/26/73,21
6/17/82,21
7/26/73,21
6/29/82,21
7/26/73,21
7/21/82,21
7/29/82,21
7/26/73,21
7/26/73,21
6/29/82,21
6/29/82,21
6/29/82,21
8/20/82,21
7/26/73,21
10/12/82,21
10/12/82,21
10/12/82,21
9/10/74,21
7/12/12,21
8/5/93,21.1
8/5/93,21.1
8/19/82,21.1
7/20/82,21.1
8/5/93,21.1
9/24/82,21.1
8/5/93,21.1
8/5/93,21.1
8/5/93,21.1
8/5/93,21.1
7/24/73,21.2
7/7/09,21.2
7/25/73,21.2
7/24/73,21.2
7/24/73,21.2
7/25/73,21.2
7/25/73,21.2
7/25/73,21.2
7/25/73,21.2
7/25/73,21.2
7/25/73,21.2
7/24/73,21.2
7/25/73,21.2
7/25/73,21.2
7/20/82,21.2
6/29/82,21.2
7/25/73,21.2
7/31/86,21.2
7/24/73,21.2
7/24/73,21.2
7/25/73,21.2
7/25/73,21.2
7/20/16,21.2
7/20/82,21.3
7/25/73,21.3
7/30/76,21.3
8/15/80,21.3
6/29/82,21.3
8/5/93,21.4
7/20/82,21.4
7/10/18,21.5
9/24/82,21.5
7/24/73,21.5
7/26/73,21.5
6/29/82,21.5
7/26/73,21.5
7/24/73,21.5
7/26/73,21.5
7/24/73,21.5
7/26/73,21.5
7/25/73,21.5
7/26/73,21.5
7/24/73,21.5
7/26/73,21.5
7/20/82,21.5
8/7/74,21.5
7/26/73,21.5
7/26/73,21.5
7/26/73,21.5
7/26/73,21.5
7/26/73,21.5
7/26/73,21.5
7/26/73,21.5
7/25/73,21.5
7/26/73,21.5
7/26/73,21.5
7/26/73,21.5
7/25/73,21.5
7/26/73,21.5
7/26/73,21.5
8/27/82,21.5
7/26/73,21.5
7/25/73,21.5
7/26/73,21.5
7/24/73,21.5
7/24/73,21.5
7/26/73,21.5
7/25/73,21.5
7/26/73,21.5
7/24/73,21.5
6/22/82,21.5
7/24/73,21.5
7/24/73,21.5
7/26/73,21.5
7/26/73,21.5
7/25/73,21.5
7/24/73,21.5
7/24/73,21.5
7/25/73,21.5
7/24/73,21.5
7/26/73,21.5
7/24/73,21.5
6/22/82,21.5
7/29/82,21.5
7/24/73,21.5
7/24/73,21.5
7/24/73,21.5
7/26/73,21.5
7/25/73,21.5
7/26/73,21.5
7/26/73,21.5
7/26/73,21.5
7/26/73,21.5
7/24/73,21.5
7/26/73,21.6
8/28/91,21.6
7/26/73,21.6
7/21/09,21.7
8/2/99,21.7
9/24/82,21.7
7/24/73,21.7
7/25/73,21.8
7/25/73,21.8
7/25/73,21.8
9/24/82,21.8
7/26/73,21.8
7/25/73,21.8
7/29/82,21.8
6/6/78,21.8
8/7/74,21.8
7/25/73,21.8
9/24/82,21.8
7/24/73,21.8
8/7/74,21.8
7/25/73,21.8
7/26/73,21.8
7/24/73,21.8
7/25/73,21.8
7/25/73,21.8
7/16/91,21.8
7/26/73,21.8
7/25/73,21.8
8/17/10,21.9
8/19/13,21.9
7/21/82,21.9
7/24/73,21.9
7/20/82,21.9
8/20/82,21.9
8/5/82,21.9
7/24/73,21.9
7/24/73,21.9
2/25/03,2.2
11/24/82,2.2
8/7/74,22
8/7/74,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
8/6/74,22
7/24/73,22
7/24/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/24/73,22
8/6/74,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
6/22/82,22
7/7/92,22
7/26/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/26/73,22
7/26/73,22
7/25/73,22
7/25/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/26/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/24/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
7/25/73,22
6/29/82,22
8/7/74,22
8/7/74,22
6/29/82,22
8/27/82,22
8/27/82,22
8/7/74,22
8/6/74,22
9/4/07,22.1
7/26/73,22.1
7/26/73,22.1
7/20/82,22.1
8/20/82,22.1
7/29/77,22.1
6/22/82,22.1
7/26/73,22.2
8/7/74,22.2
7/25/73,22.2
7/24/73,22.2
7/25/73,22.2
7/25/73,22.2
7/25/73,22.2
7/24/73,22.2
7/24/73,22.2
7/25/73,22.2
7/24/73,22.2
7/25/73,22.2
8/6/74,22.2
7/24/73,22.2
7/25/73,22.2
7/24/73,22.2
7/26/73,22.2
7/25/73,22.2
7/24/73,22.2
7/26/73,22.2
7/26/73,22.2
7/25/73,22.2
7/24/73,22.2
8/9/95,22.2
7/24/73,22.2
7/26/73,22.2
7/24/73,22.2
8/20/82,22.2
7/24/73,22.2
7/25/73,22.2
7/24/73,22.2
7/25/73,22.2
7/24/73,22.2
7/24/73,22.2
7/26/73,22.2
7/24/73,22.2
7/26/73,22.2
7/24/73,22.2
7/24/73,22.2
7/24/73,22.2
7/25/73,22.2
7/25/73,22.2
7/26/73,22.2
7/25/73,22.2
7/25/73,22.2
7/24/73,22.2
7/24/73,22.2
7/26/73,22.2
7/24/73,22.2
7/25/73,22.2
7/24/73,22.2
7/26/73,22.2
7/26/73,22.2
7/24/73,22.2
7/26/73,22.2
7/25/73,22.2
7/25/73,22.2
7/26/73,22.2
7/26/73,22.2
7/26/73,22.2
7/26/73,22.2
7/24/73,22.2
7/25/73,22.2
7/24/73,22.2
7/25/73,22.2
7/25/73,22.2
7/24/73,22.2
7/25/73,22.2
7/25/73,22.2
7/25/73,22.2
7/25/73,22.2
7/25/73,22.2
8/7/74,22.2
7/25/73,22.2
7/25/73,22.2
7/24/73,22.2
7/25/73,22.2
7/26/73,22.2
7/25/73,22.2
7/26/73,22.2
8/20/82,22.2
7/24/73,22.2
7/24/73,22.3
7/24/73,22.3
7/24/73,22.3
7/24/73,22.3
7/24/73,22.3
7/25/73,22.3
7/24/73,22.3
7/24/73,22.3
7/25/73,22.3
7/24/00,22.3
7/24/73,22.3
7/24/73,22.3
7/24/73,22.3
7/24/73,22.3
7/24/73,22.3
7/24/73,22.3
7/24/73,22.3
7/24/73,22.3
7/24/73,22.3
7/24/73,22.3
7/26/73,22.3
8/20/82,22.3
7/26/73,22.3
7/24/73,22.3
7/26/73,22.3
7/24/73,22.3
7/25/73,22.3
7/24/73,22.3
7/24/73,22.3
7/21/82,22.3
7/24/73,22.3
8/9/06,22.3
7/24/73,22.3
7/24/73,22.3
7/24/73,22.3
7/24/73,22.3
7/24/73,22.3
7/24/73,22.3
7/25/73,22.4
7/25/73,22.4
